id,user_name,user_location,date,text,hashtags,retweets,favorites,Country,Latitude,Longitude,cleaned_text
1629492949770977282,Oneindia News,India,2023-02-25 14:46:08+00:00,"Global News Wrap | Feb 25th

https://t.co/7wG3Nihabq

#earthquakedeathtoll #turkeyquake #turkeyquakes… https://t.co/BejX4IqwGT","['earthquakedeathtoll', 'turkeyquake', 'turkeyquakes']",0.0,0.0,India,20.5937,78.9629,global news wrap feb th earthquakedeathtoll turkeyquake turkeyquakes
1629483345989042179,Scifind News,France,2023-02-25 14:07:58+00:00,"Seismologists can’t predict an impending earthquake, but longer term forecasts and brief warnings after one starts… https://t.co/S3J61Uvtro",,1.0,2.0,France,46.6034,1.8883,seismologist predict impending earthquake longer term forecast brief warning one start
1629481661376110592,Odisha Bhaskar,"Bhubaneshwar, India",2023-02-25 14:01:17+00:00,"Death toll across Türkiye &amp; Syria rises to over 50,000 after earthquake
#TurkeyQuake #syriaearthquake #Turkey… https://t.co/ExG2ic9Gdy","['TurkeyQuake', 'syriaearthquake', 'Turkey']",0.0,0.0,India,20.5937,78.9629,death toll across rkiye amp syria rise earthquake turkeyquake syriaearthquake turkey
1629467912225554432,UPSC Screenshots,"New Delhi, India",2023-02-25 13:06:38+00:00,"The Science of Earthquake. Read about it. #earthquake #TurkeyQuake #turkeyearthquake2023 #Syria_earthquake #UPSC 
S… https://t.co/F4A5ILpie0","['earthquake', 'TurkeyQuake', 'turkeyearthquake2023', 'Syria_earthquake', 'UPSC']",10.0,30.0,India,20.5937,78.9629,science earthquake read earthquake turkeyquake turkeyearthquake syria earthquake upsc
1629442399322931200,Alper Somuncu,"Sydney, NSW, Australia",2023-02-25 11:25:16+00:00,"This really hit me in the feels. It's devastating to see aftermath of the disaster, but the resilience of the peopl… https://t.co/iWkHVoGMmy",,0.0,1.0,Australia,-25.2744,133.7751,really hit feel devastating see aftermath disaster resilience peopl
1629395425949102080,Podcast.1 بودكاست,United States,2023-02-25 08:18:36+00:00,"Something scary in Turkey...a giant hole suddenly appeared in Konya!

An earthquake measuring 4.3 on the Richter sc… https://t.co/e3tbVoLg3I",,0.0,0.0,United States,37.0902,-95.7129,something scary turkey giant hole suddenly appeared konya earthquake measuring richter sc
1629375697826336770,Prayagraj District,"Prayagraj, India",2023-02-25 07:00:13+00:00,"A #sinkhole with a diameter of 37 meters and a depth of 12 meters was formed in #Konya
A new sinkhole had formed in… https://t.co/r4eL0NdwwI","['sinkhole', 'Konya']",0.0,2.0,India,20.5937,78.9629,sinkhole diameter meter depth meter formed konya new sinkhole formed
1629361214471151618,Fast Mail,"New Delhi, India",2023-02-25 06:02:40+00:00,"Death toll rises to 44,218 from powerful twin earthquakes in Türkiye- Fast Mail News https://t.co/bOEKyRkxjE… https://t.co/91GOvOL7am",,0.0,0.0,India,20.5937,78.9629,death toll rise powerful twin earthquake rkiye fast mail news
1629315244844793856,Outlook India,"Delhi, India",2023-02-25 03:00:00+00:00,"#OutlookDecazine | A journalist recalls his own, and other people’s, experiences in #earthquake rescue operations i… https://t.co/lJQNpJrAWO","['OutlookDecazine', 'earthquake']",0.0,0.0,India,20.5937,78.9629,outlookdecazine journalist recall people experience earthquake rescue operation
1629299209596997632,DD News,"New Delhi, India",2023-02-25 01:56:17+00:00,"Earthquake death toll surpasses 50,000 in Turkey and #Syria
 
#TurkeyQuake https://t.co/2cIqaPWl42","['Syria', 'TurkeyQuake']",3.0,41.0,India,20.5937,78.9629,earthquake death toll surpasses turkey syria turkeyquake
